,Builders,LPrice,Locality,Monthly_Installment,Villa_BHK,sqft
0,  Homes India Pvt. Ltd,88.44 L,"Bidare Agraha, Bangalore", 51.7 K,3 ,5.9k 
1, Sumadhura Infracon Pvt. Ltd.,30.02 L - 69.28 L,"Whitefield, Bangalore", 43.2 K,"1, 2, 2.5, 3 s",4.55k 
2, Desai Developers,50.51 L - 78.64 L,"Chansandra, Bangalore", 45.9 K,"2, 3 s",3.7k 
3, NVT Quality Lifestyle,2.48 Cr,"Whitefield, Bengaluru", 1.45 Lacs,4 BHK Villa,6.6k 
4, Durga Projects and Infrastructure,98.0 L - 1.38 Cr,"Doddanakundi, Kartik Nagar", 80.6 K,"2, 2.5, 3 s",
5, Arvind SmartSpaces Ltd,1.46 Cr - 2.68 Cr,"Mahadevpura, Whitefield, Bangalore", 1.56 Lacs,"3, 4, 5 , Villas",7.76k 
6, Oceanus Dwelling Pvt. Ltd.,61.34 L - 96.24 L,"Rammamurthy Nagar, Bengaluru", 56.2 K,"2, 2.5, 3 s",5.09k 
7, Sumadhura Infracon Pvt. Ltd.,73.48 L - 1.09 Cr,"Hoodi, Whitefield, Bengaluru", 63.7 K,"2, 2.5, 3 s",8.38k 
8, DSR Infrastructure Pvt. Ltd,65.14 L - 1.03 Cr,"Whitefield Road, Bangalore", 60.2 K,"2, 2.5, 3 s",5.7k 
9, Alembic Real Estate,84 L - 1.2 Cr,"Near Hope Farm Junction, Whitefield", 70.1 K,"2, 3, 3.5 s",5.49k 
10,,4.8 Cr,, 2.8 Lacs,,
11,,42.0 Lacs,, 26.1 K,,
12,,33.5 L,, 20.8 K,,
13,,64.29 L,, 40 K,,
14,,30.39 L,, 18.9 K,,
